Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Código da chapa;Classificacao;Desc. da chapa;Fita;Pintura;
23/01/23;600;94098N1;1142119;203494098N12;BASE DIR 9409 ;15X584X269;15X581X266;;600;100;6;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 2 LADOS (1=266MM/1=; 1 LADO (LADO OPOSTO;
23/01/23;600;94098N1;1142119;203494098N13;BASE ESQ 9409 ;15X584X400;15X581X196; CORTE 1Y ;600;400;2;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 2 LADOS (1=196MM/1=; 1 LADO (LADO OPOSTO;
23/01/23;600;94098N1;1142119;203494098N17;DIVISORIA ESQ 9409 ;;15X598X725;;600;100;6;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1=725MM); 2 LADOS;
23/01/23;300;G22201PR091.1;1144554;2422201009P3;LATERAL DIR G22201PR ;;15X580X645;;300;100;3;2011000015084;AGLOM BP 15MM BCO;AGLOM BP 15MM (2600X1830) - 2L (BRANCO) - EGGER; 1 LADO (1=645MM); 2 LADOS;
23/01/23;300;G22201PR091.1;1144554;2422200009P0;TAMPO FALSO ;;15X578X168;;300;500;1;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 1 LADO (1 =168MM); 0 LADO;
23/01/23;300;G22201PR091.1;1144554;2422200009P1;BASE G22200PR/G22201PR ;15X583X404;15X580X198; CORTE 1Y ;300;400;1;2011000015084;AGLOM BP 15MM BCO;AGLOM BP 15MM (2600X1830) - 2L (BRANCO) - EGGER; 3 LADOS (2=580MM / ; 1 LADO;
23/01/23;300;G22201PR091.1;1144554;2424200009P8;RODAPE FRONTAL ;;15X150X198; CORTE 1X ;300;1100;1;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 2 LADOS (2 =150MM); 1 LADO;
23/01/23;300;G22201PR091.1;1144554;2422201009P4;LATERAL ESQ G22201PR ;;15X580X645;;300;100;3;2011000015084;AGLOM BP 15MM BCO;AGLOM BP 15MM (2600X1830) - 2L (BRANCO) - EGGER; 1 LADO (1=645MM); 2 LADOS;
23/01/23;500;G24120RM091.1;1144228;242007700902;BASE BALCAO G20077 ;15X494X1201;15X491X1198;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=491MM/1=; 1 LADO;
23/01/23;500;G24120RM091.1;1144228;242007700916;PRATELEIRA BALCAO ;;12X489X1174;;500;60;9;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=1174MM); 1 LADO (LADO SEM FU;
23/01/23;500;G24120RM091.1;1144228;2424120009R1;PORTA INF ESQ ;15X624X598;15X621X595;;500;100;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=621MM/1=; 2 LADOS;
23/01/23;500;G24120RM091.1;1144228;2424120009R2;PORTA INF DIR ;15X624X598;15X621X595;;500;100;5;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=621MM/1=; 2 LADOS;
23/01/23;500;G24120RM091.1;1144228;242007700917;TAMPO G20077 ;15X523X1202;15X520X1199;;500;50;10;2011000015022;AGLOM 15MM;AGLOM 15MM (2750x1850); 3 LADOS (2=520MM/1=; 1 LADO;
23/01/23;500;G24120RM091.1;1144228;242007700919;TIRA BALCAO G20077 ;;12X60X1174;;1000;420;3;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 0 LADO; 1 LADO;
23/01/23;500;G24120RM091.1;1144228;242007700907;DIVISORIA BALCAO G20077 ;;12X420X309;;500;240;3;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=309MM); 2 LADOS;
23/01/23;500;G24120RM091.1;1144228;242007700909;LATERAL DIR BALCAO G20077 ;;12X491X645;;500;120;5;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=645MM); 2 LADOS;
23/01/23;500;G24120RM091.1;1144228;242007700911;LATERAL ESQ BALCAO G20077 ;;12X491X645;;500;120;5;2013001209035;MDP BP 12MM BRANCO;MDP BP 12MM (2750x1860) - 2L (BRANCO); 1 LADO (1=645MM); 2 LADOS;
