Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Codigo da chapa;Classificacao;Desc. da chapa;Fita;Pintura11/01/23;300;G2007250C91.1;1143200;242007200904;COSTA ;;2,5X325X594;;900;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G20091517K*.1;1142123;242009100903;COSTA BALCAO ;;2,5X332X636;;600;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L; 0 LADO; HDF;
11/01/23;300;G20091517K*.1;1142123;242009100904;COSTA AEREO ;;2,5X270X636;;600;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L; 0 LADO; HDF;
11/01/23;300;G2009650C92.1;1143860;242009600905;COSTA ;;2,5X324X794;;600;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;400;G24120RM8N1.1;1140846;242007700905;COSTA ;;2,5X325X1194;;800;250;4;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G24153PR5Z1.1;1142136;242415300909;FUNDO GAV P ;;2,5X452X427;;600;750;1;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L; 0 LADO; HDF;
11/01/23;300;G24153PR5Z1.1;1142136;242415300902;COSTA ;;2,5X483X1488;;300;250;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G24750RM091.1;1141498;242475000902;COSTA ;;2,5X322X794;;600;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G24800PR5Z1.1;1141417;2425803009049;COSTA ;;2,5X322X788;;600;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;400;G2512550092.1;1142743;2425125009048;COSTA ;;2,5X485X1188;;400;250;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G2675050092.1;1142193;2426750009199;COSTA MENOR G26750 ;;2,5X322X688;;900;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
11/01/23;300;G26752FTC92.2;1144227;242675200902;COSTA ;;2,5X325X694;;900;500;2;2013000309026;3MM BRANCO;HDF 2,5mm - LE BRANCO ICE (2440x1850) - 1L;; HDF;
