Dt Termino;Qt Ordem;Item;Ordem Prod;Peca;Desc Peca;Med Esquadra;Med Bruta;Ardis;Quantidade;Lote Multiplo;Pilha;Codigo da chapa;Classificacao;Desc. da chapa;Fita;Pintura11/01/23;300;G2007250C91.1;1143200;242007200919;LATERAL DIR BALCAO G20072 ;;12X450X645;;300;120;3;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 1 LADO (1=645MM); 2 LADOS;
11/01/23;300;G2007250C91.1;1143200;242007200931;RODAPE FRONTAL G20072 ;;12X150X598;;300;360;1;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 2 LADOS (2=150MM); 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007201143;PORTA G20072 ;15X624X298;15X621X295;;600;100;6;2012000015029;MDF 15MM;MDF 15MM (2750x1850) - STANDARD; 4 LADOS; 2 LADOS;
11/01/23;300;G2007250C91.1;1143200;242007201127;PORTA SUSP G20072 ;15X294X598;15X291X595;;300;100;3;2012000015029;MDF 15MM;MDF 15MM (2750x1850) - STANDARD; 4 LADOS; 2 LADOS;
11/01/23;300;G2007250C91.1;1143200;242007200037;TIRA TRAS G20072 ;;12X60X574;;300;840;1;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 0 LADO; 0 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200901;BASE AEREO G20072 ;;12X266X574;;300;120;3;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 1 LADO (1=574MM); 2 LADOS;
11/01/23;300;G2007250C91.1;1143200;242007200935;TAMPO AEREO G20072 ;;12X266X574;;300;120;3;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 1 LADO (1=574MM); 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200937;TIRA FRONTAL G20072 ;;12X60X574;;300;840;1;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 0 LADO; 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200928;PRATELEIRA MOVEL G20072 ;;12X385X574;;300;120;3;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 1 LADO (1=574MM); 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200913;LATERAL AEREO G20072 ;12X271X333;12X268X330;;600;300;2;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 3 LADOS (2=268MM/1=; 2 LADOS;
11/01/23;300;G2007250C91.1;1143200;242007200954;TAMPO G20072 ;15X473X602;15X470X599;;300;100;3;2012000015029;MDF 15MM;MDF 15MM (2750x1850) - STANDARD; 4 LADOS; 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200902;BASE BALCAO G20072 ;15X453X601;15X450X598;;300;100;3;2012000015029;MDF 15MM;MDF 15MM (2750x1850) - STANDARD; 3 LADOS (2=450MM/1=; 1 LADO;
11/01/23;300;G2007250C91.1;1143200;242007200918;LATERAL ESQ BALCAO G20072 ;;12X450X645;;300;120;3;2012000012011;MDF 12MM;MDF 12MM (2750x1850) - STANDARD; 1 LADO (1=645MM); 2 LADOS;
