N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;60;4.58;8;8;93.35;93.75;305.25;13.1867;  1:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11989;180;;;;;;;;;;;;;;;;;;;;;;;;20220926_093246_280922 -2_FV_data;DATA_LAYOUT;Ardis;26/09/2022;  9:32;FV;PORTA COLUNA G20086
1;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;60;4.58;8;8;93.35;93.75;305.25;13.1867;  1:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11989;180;4.5127;242008605Z20;PORTA COLUNA G2;597;359;0.214323;60;12.85938;0.1928907;13.775111506;300;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;357;20 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA COLUNA G20086
1;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;60;4.58;8;8;93.35;93.75;305.25;13.1867;  1:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11989;180;28.30806;242008605Z18;PORTA G20086;597;563;0.336111;240;80.66664;1.2099996;86.411005882;600;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;561;40 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA G20086
1;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;60;4.58;8;8;93.35;93.75;305.25;13.1867;  1:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11989;180;66.00105;242012300974;TAMPO G20123;1201;522;0.626922;300;188.0766;2.821149;201.469754892;300;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;1199;520;*****;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;TAMPO G20123
1;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;60;4.58;8;8;93.35;93.75;305.25;13.1867;  1:13;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11989;180;1.17743;242415300917;MONTANTE G24153;466;60;0.02796;120;3.3552;0.050328;3.59412772;120;0;0;28/09/22;G24153PR091.1;1130101;;2011000015022;0;3;466;60;*****;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;MONTANTE G24153PR
2;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;90.07;93.75;152.625;13.1867;  0:40;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11182;296;;;;;;;;;;;;;;;;;;;;;;;;20220926_093246_280922 -2_FV_data;DATA_LAYOUT;Ardis;26/09/2022;  9:32;FV;TAMPO CENTRAL / INTERMEDI?RIO INF
2;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;90.07;93.75;152.625;13.1867;  0:40;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11182;296;30.6292;242012300963;TAMPO CENTRAL /;574;489;0.280686;150;42.1029;0.6315435;46.746920563;300;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;574;489;50 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;TAMPO CENTRAL / INTERMEDI?RIO INF
2;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;90.07;93.75;152.625;13.1867;  0:40;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11182;296;1.334;242415300903;COSTA GAV;413;148;0.061124;30;1.83372;0.0275058;2.035982395;90;0;0;28/09/22;G24153PR091.1;1130101;;2011000015022;0;3;413;148;33.3 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;COSTA GAV
2;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;90.07;93.75;152.625;13.1867;  0:40;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11182;296;9.355;242008605Z20;PORTA COLUNA G2;597;359;0.214323;60;12.85938;0.1928907;14.277791206;300;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;357;40 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA COLUNA G20086
2;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;90.07;93.75;152.625;13.1867;  0:40;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11182;296;58.68372;242008605Z18;PORTA G20086;597;563;0.336111;240;80.66664;1.2099996;89.564305836;600;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;561;80 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA G20086
3;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;92.91;93.75;76.3125;13.1867;  0:18;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12537;0;;;;;;;;;;;;;;;;;;;;;;;;20220926_093246_280922 -2_FV_data;DATA_LAYOUT;Ardis;26/09/2022;  9:32;FV;FRENTE GAV G20086
3;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;92.91;93.75;76.3125;13.1867;  0:18;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12537;0;34.04693;242008605Z10;FRENTE GAV G200;597;337;0.201189;120;24.14268;0.3621402;25.98364486;150;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;165;80 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;FRENTE GAV G20086
3;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;92.91;93.75;76.3125;13.1867;  0:18;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12537;0;9.0674;242008605Z20;PORTA COLUNA G2;597;359;0.214323;30;6.42969;0.09644535;6.919976636;300;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;357;50 %;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA COLUNA G20086
3;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;15;1.14;2;8;92.91;93.75;76.3125;13.1867;  0:18;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12537;0;56.87959;242008605Z18;PORTA G20086;597;563;0.336111;120;40.33332;0.6049998;43.408878505;600;0;0;28/09/22;G20123509B2.2;1129014;;2011000015022;0;0;595;561;*****;20220926_093246_280922 -2_FV_data;DATA_PECA;Ardis;26/09/2022;  9:32;FV;PORTA G20086
4;2011000015022;AGLOM 15MM (2750x1850);AGLOM 15MM;15;2750;1850;5.0875;30;2.29;4;8;91.15;93.75;152.625;13.1867;  0:52;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;15361;592;;;;;;;;;;;;;;;;;;;;;;;;20220926_093246_280922 -2_FV_data;DATA_LAYOUT;Ardis;26/09/2022;  9:32;FV;TAMPO CENTRAL / INTERMEDI?RIO INF
