N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;72;4.4;8;10;92.95;90;366.3;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;16036;0;;;;;;;;;;;;;;;;;;;;;;;;15072022_083436_190722 - 3_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  8:34;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;72;4.4;8;10;92.95;90;366.3;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;16036;0;11.91654;242007700919;TIRA BALCAO G20;1174;60;0.07044;576;40.57344;0.48688128;43.650243799;892;4;0.3;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;1174;60;64.6 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;TIRA BALCAO G20077
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;72;4.4;8;10;92.95;90;366.3;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;16036;0;27.38368;242412608N04;DIVISORIA BALCA;492;376;0.184992;504;93.235968;1.118831616;100.306326849;504;4;0.8;19/07/22;G24126RM8N1.1;1120805;;2011000012021;0;0;492;376;*****;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;DIVISORIA BALCAO
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;72;4.4;8;10;92.95;90;366.3;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;16036;0;60.69988;242007700916;PRATELEIRA BALC;1174;489;0.574086;360;206.67096;2.48005152;222.343429352;505;5;3.09;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;1174;489;71.3 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;PRATELEIRA BALCAO
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;29;1.77;3;10;94.69;96.67;147.5375;11.1112;  0:26;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;16255;284;;;;;;;;;;;;;;;;;;;;;;;;15072022_083436_190722 - 3_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  8:34;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;29;1.77;3;10;94.69;96.67;147.5375;11.1112;  0:26;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;16255;284;32.87099;242007708N09;LATERAL DIR BAL;645;491;0.316695;145;45.920775;0.5510493;48.497727363;502;2;0.67;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;645;491;28.9 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;LATERAL DIR BALCAO G20077
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;29;1.77;3;10;94.69;96.67;147.5375;11.1112;  0:26;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;16255;284;1.69201;242412600019;TRAVESSA MENOR;574;142;0.081508;29;2.363732;0.028364784;2.496378384;245;1;0.09;19/07/22;G24126RM8N1.1;1120805;;2011000012021;0;0;574;142;11.8 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;TRAVESSA MENOR G24126RM
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;29;1.77;3;10;94.69;96.67;147.5375;11.1112;  0:26;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;16255;284;5.84899;242007700919;TIRA BALCAO G20;1174;60;0.07044;116;8.17104;0.09805248;8.62957714;892;4;0.3;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;1174;60;77.6 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;TIRA BALCAO G20077
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;29;1.77;3;10;94.69;96.67;147.5375;11.1112;  0:26;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;16255;284;59.58659;242007700916;PRATELEIRA BALC;1174;489;0.574086;145;83.24247;0.99890964;87.913817113;505;5;3.03;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;1174;489;*****;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;PRATELEIRA BALCAO
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;84;5.13;9;10;90.01;93.33;427.35;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;9528;0;;;;;;;;;;;;;;;;;;;;;;;;15072022_083436_190722 - 3_FV_data;DATA_LAYOUT;Ardis;15/07/2022;  8:34;Fábrica Vermelha;
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;84;5.13;9;10;90.01;93.33;427.35;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;9528;0;17.00528;242007708N07;DIVISORIA BALCA;309;420;0.12978;504;65.40912;0.78490944;72.672514643;504;4;0.58;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;309;420;*****;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;DIVISORIA BALCAO G20077
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;84;5.13;9;10;90.01;93.33;427.35;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;9528;0;29.39375;242007708N09;LATERAL DIR BAL;645;491;0.316695;357;113.060115;1.35672138;125.614942731;502;2;0.7;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;645;491;*****;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;LATERAL DIR BALCAO G20077
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;84;5.13;9;10;90.01;93.33;427.35;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;9528;0;41.33239;242007708N11;LATERAL ESQ BAL;645;491;0.316695;502;158.98089;1.90777068;176.635017509;502;2;0.7;19/07/22;G24120RM8N1.1;1121550;;2011000012021;0;0;645;491;*****;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;LATERAL ESQ BALCAO G20077
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;84;5.13;9;10;90.01;93.33;427.35;11.1112;  1:32;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;9528;0;12.26798;242412608N08;LATERAL DIR BAL;645;491;0.316695;149;47.187555;0.56625066;52.427525117;502;2;0.7;19/07/22;G24126RM8N1.1;1120805;;2011000012021;0;0;645;491;29.7 %;15072022_083436_190722 - 3_FV_data;DATA_PEÇA;Ardis;15/07/2022;  8:34;Fábrica Vermelha;LATERAL DIR BALCAO
