N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.87;96.88;157.7125;19.9399;  0:30;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14348;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_125801_060722 - 6_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.87;96.88;157.7125;19.9399;  0:30;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14348;0;16.50902;203469913BC3;DIVISORIA 6991;400;332;0.1328;186;24.7008;0.370512;26.037378612;218;2;0.28;06/07/22;69913B1CF;1118950;;2011000015046;0;0;400;332;85.3 %;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.87;96.88;157.7125;19.9399;  0:30;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14348;0;83.48873;203469913BC10;TAMPO 6991 - CA;1503;383;0.575649;217;124.915833;1.873737495;131.675121388;217;1;0.61;06/07/22;69913B1CF;1118950;;2011000015046;0;0;1503;383;*****;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.66;96.88;157.7125;19.9399;  0:46;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;17231;240;;;;;;;;;;;;;;;;;;;;;;;;04072022_125801_060722 - 6_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.66;96.88;157.7125;19.9399;  0:46;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;17231;240;18.09164;203469913BC4;LATERAL DIR 699;400;363;0.1452;186;27.0072;0.405108;28.532202033;216;0;0;06/07/22;69913B1CF;1118950;;2011000015046;0;0;400;363;86.1 %;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.66;96.88;157.7125;19.9399;  0:46;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;17231;240;78.3693;203469913BC1;BASE 6991 - CAR;1469;367;0.539123;217;116.989691;1.754845365;123.595689277;217;1;0.57;06/07/22;69913B1CF;1118950;;2011000015046;0;0;1469;367;*****;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;31;2.37;4;8;94.66;96.88;157.7125;19.9399;  0:46;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;17231;240;3.54108;203469903BC11;LATERAL INCL 69;1421;60;0.08526;62;5.28612;0.0792918;5.58460869;62;0;0;06/07/22;69903B1CF;1118959;;2011000015046;0;3;1421;60;*****;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;95.67;100;40.7;19.9399;  0:12;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;13012;800;;;;;;;;;;;;;;;;;;;;;;;;04072022_125801_060722 - 6_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;95.67;100;40.7;19.9399;  0:12;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;13012;800;13.09748;203469903BC10;TAMPO 6990 - CA;613;260;0.15938;32;5.10016;0.0765024;5.331238676;140;1;0.17;06/07/22;69903B1CF;1118959; CORTE 1X;2011000015046;0;0;613;260;22.9 %;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;95.67;100;40.7;19.9399;  0:12;GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;13012;800;77.65202;203469903BC7;PRATELEIRA SUP;579;408;0.236232;128;30.237696;0.45356544;31.607709248;140;1;0.25;06/07/22;69903B1CF;1118959; CORTE 1X;2011000015046;0;0;579;408;91.4 %;04072022_125801_060722 - 6_FV_data;DATA_PEÇA;Ardis;04/07/2022; 12:58;Fábrica Vermelha;
