N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
4;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;120;1.52;6;20;92.85;100;541.68;40;  1:47;SC11 - SCM Star;MATERIAIS_FV_NORMAL;19520;6264;1188;14.1054;242412400927;FUNDO GAV;327;452;0.147804;480;70.94592;0.198648576;76.405511906;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;327;452;95 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;FUNDO GAV
4;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;120;1.52;6;20;92.85;100;541.68;40;  1:47;SC11 - SCM Star;MATERIAIS_FV_NORMAL;19520;6264;1188;4.60584;242007200904;COSTA;594;325;0.19305;120;23.166;0.0648648;24.948722757;1200;0;0;12/07/22;G20072507G1.1;1120500;;2013000309026;0;0;594;325;10 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
4;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;120;1.52;6;20;92.85;100;541.68;40;  1:47;SC11 - SCM Star;MATERIAIS_FV_NORMAL;19520;6264;1188;81.28956;242512500903;COSTA;1188;239;0.283932;1440;408.86208;1.144813824;440.325765337;1600;0;0;12/07/22;G25125PR8N1.1;1119829;;2013000309026;0;0;1188;239;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
5;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;50;0.63;3;20;94.04;83.33;225.7;40;  0:50;SC11 - SCM Star;MATERIAIS_FV_NORMAL;17080;7192;0;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
5;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;50;0.63;3;20;94.04;83.33;225.7;40;  0:50;SC11 - SCM Star;MATERIAIS_FV_NORMAL;17080;7192;0;8.63604;2425200009048;COSTA;650;188;0.1222;150;18.33;0.051324;19.491134464;400;0;0;13/07/22;G2520050091.1;1120293;;2013000309026;0;0;650;188;57.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
5;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;50;0.63;3;20;94.04;83.33;225.7;40;  0:50;SC11 - SCM Star;MATERIAIS_FV_NORMAL;17080;7192;0;91.36608;242412400934;COSTA;803;322;0.258566;750;193.9245;0.5429886;206.208865536;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;803;322;93.8 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;;;;;;;;;;;;;;;;;;;;;;;;08072022_074946_120722 1 3mm_FV_data;DATA_LAYOUT;Ardis;08/07/2022;  7:49;Fábrica Vermelha;
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;34.57689;242412400934;COSTA;803;322;0.258566;50;12.9283;0.03619924;15.609520419;800;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;803;322;*****;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;6.53651;2425200009048;COSTA;650;188;0.1222;20;2.444;0.0068432;2.950864994;400;0;0;13/07/22;G2520050091.1;1120293;;2013000309026;0;0;650;188;62.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
6;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;1850;2440;4.514;10;0.13;1;20;82.82;50;45.14;40;  0:20;SC11 - SCM Star;MATERIAIS_FV_NORMAL;11100;10962;2656;26.8414;242412400922;COSTA;650;386;0.2509;40;10.036;0.0281008;12.117381784;400;0;0;12/07/22;G24124SP092.1;1118263;;2013000309026;0;0;650;386;17.5 %;08072022_074946_120722 1 3mm_FV_data;DATA_PEÇA;Ardis;08/07/2022;  7:49;Fábrica Vermelha;COSTA
