N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;93.21;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14088;0;;;;;;;;;;;;;;;;;;;;;;;;06072022_144857_110722 - 8_FV_data;DATA_LAYOUT;Ardis;06/07/2022; 14:48;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;93.21;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14088;0;1.79808;203469908NC11;LATERAL INCL 69;1421;60;0.08526;29;2.47254;0.0370881;2.652776548;38;0;0;08/07/22;69908N1CF;1118958;;2011000015046;0;3;1421;60;76.3 %;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;LATERAL INCL 6990 - CARB -
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;93.21;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;14088;0;98.20441;203469228NC1;BASE 6922 - CAR;1746;381;0.665226;203;135.040878;2.02561317;144.884723452;203;2;1.43;08/07/22;69228N1CF;1118962;;2011000015046;0;0;1746;381;*****;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;BASE 6922 - CARB -
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;92.26;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;15078;0;;;;;;;;;;;;;;;;;;;;;;;;06072022_144857_110722 - 8_FV_data;DATA_LAYOUT;Ardis;06/07/2022; 14:48;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;92.26;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;15078;0;21.58542;203469188NC6;PORTA 6918 - CA;395;285;0.112575;261;29.382075;0.440731125;31.846808255;405;4;0.49;08/07/22;69188N1CF;1118960;;2011000015046;0;0;395;285;64.4 %;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;PORTA 6918 - CARB -
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;29;2.21;4;8;92.26;90.63;147.5375;19.9399;  0:30;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;15078;0;78.4139;203469188NC1;BASE 6918 - CAR;1391;378;0.525798;203;106.736994;1.60105491;115.690691745;203;2;1.14;08/07/22;69188N1CF;1118960;;2011000015046;0;0;1391;378;*****;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;BASE 6918 - CARB -
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;94.17;100;40.7;19.9399;  0:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11976;2130;;;;;;;;;;;;;;;;;;;;;;;;06072022_144857_110722 - 8_FV_data;DATA_LAYOUT;Ardis;06/07/2022; 14:48;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;94.17;100;40.7;19.9399;  0:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11976;2130;32.39862;203469908NC1;BASE 6990 - CAR;579;383;0.221757;56;12.418392;0.18627588;13.187703659;201;0;0;08/07/22;69908N1CF;1118958;;2011000015046;0;0;579;383;27.9 %;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;BASE 6990 - CARB -
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;94.17;100;40.7;19.9399;  0:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11976;2130;59.16585;203469908NC7;PRATELEIRA SUP;579;408;0.236232;96;22.678272;0.34017408;24.083176843;102;1;0.25;08/07/22;69908N1CF;1118958; CORTE 1X;2011000015046;0;0;579;408;94.1 %;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;PRATELEIRA SUP 6990 - CARB -
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;8;0.61;1;8;94.17;100;40.7;19.9399;  0:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;11976;2130;8.42442;203469228NC3;DIVISORIA 6922;355;379;0.134545;24;3.22908;0.0484362;3.429119497;405;4;0.57;08/07/22;69228N1CF;1118962;;2011000015046;0;0;355;379;5.9 %;06072022_144857_110722 - 8_FV_data;DATA_PEÇA;Ardis;06/07/2022; 14:48;Fábrica Vermelha;DIVISORIA 6922 - CARB -
