N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;88.05;100;30.525;19.9399;  0:33;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;88.05;100;30.525;19.9399;  0:33;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;0;20.05714;203469903BC9;TIRA TRAS 6990;576;65;0.03744;144;5.39136;0.0808704;6.12315358;1122;21;0.89;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;12.8 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;88.05;100;30.525;19.9399;  0:33;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;0;79.93125;203469903BC11;LATERAL INCL 69;1421;60;0.08526;252;21.48552;0.3222828;24.40184642;492;3;0.29;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1421;60;51.2 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;87.95;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;240;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;87.95;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;240;20.07955;203469903BC9;TIRA TRAS 6990;576;65;0.03744;144;5.39136;0.0808704;6.12988629;1122;21;0.89;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;25.7 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;87.95;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;240;76.21006;203469903BC11;LATERAL INCL 69;1421;60;0.08526;240;20.4624;0.306936;23.265407101;492;3;0.29;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1421;60;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;87.95;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;63053;240;3.70056;203469903BC12;LATERAL DIR 699;1380;60;0.0828;12;0.9936;0.014904;1.129706608;276;0;0;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1380;60;4.3 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;85.45;100;30.525;19.9399;  0:28;SELCO EBT 1000;MATERIAIS_FV_NORMAL;19250;63373;720;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;85.45;100;30.525;19.9399;  0:28;SELCO EBT 1000;MATERIAIS_FV_NORMAL;19250;63373;720;17.22699;203469903BC9;TIRA TRAS 6990;576;65;0.03744;120;4.4928;0.067392;5.257701226;1122;21;0.92;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;36.4 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;85.45;100;30.525;19.9399;  0:28;SELCO EBT 1000;MATERIAIS_FV_NORMAL;19250;63373;720;71.35951;203469913BC6;MONTANTE FRONTA;1436;60;0.08616;216;18.61056;0.2791584;21.779016231;216;0;0;06/07/22;69913B1CF;1118950;;2011000015046;0;0;1436;60;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;85.45;100;30.525;19.9399;  0:28;SELCO EBT 1000;MATERIAIS_FV_NORMAL;19250;63373;720;11.42945;203469903BC12;LATERAL DIR 699;1380;60;0.0828;36;2.9808;0.044712;3.488282544;276;0;0;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1380;60;17.4 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
4;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;88.86;100;61.05;19.9399;  0:35;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;51229;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
4;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;88.86;100;61.05;19.9399;  0:35;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;51229;0;13.25065;203469903BC9;TIRA TRAS 6990;576;65;0.03744;192;7.18848;0.1078272;8.089698669;1122;21;0.88;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;53.5 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
4;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;88.86;100;61.05;19.9399;  0:35;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;51229;0;86.74719;2034699000C1;TIRA DE PROTECA;1513;81;0.122553;384;47.060352;0.70590528;52.960301331;552;3;0.41;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1513;81;69.6 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
5;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;86.02;100;61.05;19.9399;  0:45;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;61290;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
5;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;86.02;100;61.05;19.9399;  0:45;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;61290;0;20.5346;203469903BC9;TIRA TRAS 6990;576;65;0.03744;288;10.78272;0.1617408;12.535439289;1122;21;0.91;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;79.1 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
5;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;86.02;100;61.05;19.9399;  0:45;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;61290;0;35.95201;203469903BC12;LATERAL DIR 699;1380;60;0.0828;228;18.8784;0.283176;21.947063179;276;0;0;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1380;60;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
5;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;12;0.92;2;6;86.02;100;61.05;19.9399;  0:45;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;61290;0;43.52085;203469903BC13;LATERAL ESQ 699;1380;60;0.0828;276;22.8528;0.342792;26.567497532;276;0;0;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1380;60;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
6;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;86.58;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;52742;975;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
6;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;86.58;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;52742;975;22.09852;203469903BC9;TIRA TRAS 6990;576;65;0.03744;156;5.84064;0.0876096;6.745690959;1122;21;0.91;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;93 %;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
6;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;86.58;100;30.525;19.9399;  0:26;SELCO EBT 1000;MATERIAIS_FV_NORMAL;16500;52742;975;77.89975;2034699000C1;TIRA DE PROTECA;1513;81;0.122553;168;20.588904;0.30883356;23.779309041;552;3;0.42;06/07/22;69903B1CF;1118959;;2011000015046;0;0;1513;81;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
7;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;6;90.94;16.67;5.0875;19.9399;  0:24;SELCO EBT 1000;MATERIAIS_FV_NORMAL;11000;51496;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_131055_060722 - 7_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
7;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;6;90.94;16.67;5.0875;19.9399;  0:24;SELCO EBT 1000;MATERIAIS_FV_NORMAL;11000;51496;0;63.07387;203469903BC9;TIRA TRAS 6990;576;65;0.03744;78;2.92032;0.0438048;3.211407673;1122;21;0.86;06/07/22;69903B1CF;1118959;;2011000015046;0;0;576;65;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
7;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;6;90.94;16.67;5.0875;19.9399;  0:24;SELCO EBT 1000;MATERIAIS_FV_NORMAL;11000;51496;0;36.84752;2034940009C12;PORTA ESQ 9400;360;677;0.24372;7;1.70604;0.0255906;1.876092327;7;0;0;07/07/22;9400091CF;1118951;;2011000015046;0;3;360;677;*****;04072022_131055_060722 - 7_FV_data;DATA_PEÇA;Ardis;04/07/2022; 13:10;Fábrica Vermelha;
