N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;88;6.72;11;8;94.24;100;447.7;19.9399;  1:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11696;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_105928_060722 - 3_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;88;6.72;11;8;94.24;100;447.7;19.9399;  1:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11696;0;22.86899;203494003BC15;TAMPO INTERM 94;636;431;0.274116;352;96.488832;1.44733248;102.384240325;362;0;0;06/07/22;94003B1CF;1118953;;2011000015046;0;3;636;431;97.2 %;04072022_105928_060722 - 3_FV_data;DATA_PEÇA;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;88;6.72;11;8;94.24;100;447.7;19.9399;  1:15;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;11696;0;77.13122;203494003BC16;TAMPO 9400 - CA;1363;452.2;0.6163486;528;325.4320608;4.881480912;345.315759675;531;0;0;06/07/22;94003B1CF;1118953;;2011000015046;0;0;1363;453;99.4 %;04072022_105928_060722 - 3_FV_data;DATA_PEÇA;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;8;90.23;12.5;5.0875;19.9399;  0:11;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;10333;5088;;;;;;;;;;;;;;;;;;;;;;;;04072022_105928_060722 - 3_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;8;90.23;12.5;5.0875;19.9399;  0:11;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;10333;5088;59.72026;203494003BC15;TAMPO INTERM 94;636;431;0.274116;10;2.74116;0.0411174;3.038132081;362;0;0;06/07/22;94003B1CF;1118953;;2011000015046;0;3;636;431;*****;04072022_105928_060722 - 3_FV_data;DATA_PEÇA;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;1;0.08;1;8;90.23;12.5;5.0875;19.9399;  0:11;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;8250;10333;5088;40.28422;203494003BC16;TAMPO 9400 - CA;1363;452.2;0.6163486;3;1.8490458;0.027735687;2.049367919;531;0;0;06/07/22;94003B1CF;1118953;;2011000015046;0;0;1363;453;*****;04072022_105928_060722 - 3_FV_data;DATA_PEÇA;Ardis;04/07/2022; 10:59;Fábrica Vermelha;
