N° Layout;Código chapa ERP;Descrição da chapa;Família da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;38;2.76;4;10;91.96;95;229.9;11.3794;  0:37;SC09;MATERIAIS_FB_NORMAL;11000;11382;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;38;2.76;4;10;91.96;95;229.9;11.3794;  0:37;SC09;MATERIAIS_FB_NORMAL;11000;11382;0;27.08323;242007005Z16;LATERAL DIR BAL;645;807;0.520515;110;57.25665;0.6870798;62.264126602;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR BALCAO G20070
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;38;2.76;4;10;91.96;95;229.9;11.3794;  0:37;SC09;MATERIAIS_FB_NORMAL;11000;11382;0;47.76496;242007005Z12;DIVISORIA BALCA;645;807;0.520515;194;100.97991;1.21175892;109.811277825;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;77.6 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;DIVISORIA BALCAO G20070
3;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;38;2.76;4;10;91.96;95;229.9;11.3794;  0:37;SC09;MATERIAIS_FB_NORMAL;11000;11382;0;25.15215;242007005Z18;LATERAL ESQ AER;552;507;0.279864;190;53.17416;0.63808992;57.824595574;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;552;251;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL ESQ AEREO G20070
4;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;2;0.15;1;10;91.45;20;12.1;11.3794;  0:07;SC09;MATERIAIS_FB_NORMAL;11000;11310;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
4;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;2;0.15;1;10;91.45;20;12.1;11.3794;  0:07;SC09;MATERIAIS_FB_NORMAL;11000;11310;0;75.23252;242007005Z12;DIVISORIA BALCA;645;807;0.520515;16;8.32824;0.09993888;9.106392531;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;84 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;DIVISORIA BALCAO G20070
4;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;2;0.15;1;10;91.45;20;12.1;11.3794;  0:07;SC09;MATERIAIS_FB_NORMAL;11000;11310;0;24.73171;242007005Z11;DIVISORIA AEREO;540;507;0.27378;10;2.7378;0.0328536;2.993607469;250;0;0;21/12/21;G20070515Z*.2;1011336;ESQUADRA1Y;2011000012014;0;0;540;251;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;DIVISORIA AEREO G20070
5;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;5;0.36;1;10;91.3;50;30.25;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;11619;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
5;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;5;0.36;1;10;91.3;50;30.25;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;11619;0;75.38233;242007005Z12;DIVISORIA BALCA;645;807;0.520515;40;20.8206;0.2498472;22.8035929;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;645;401;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;DIVISORIA BALCAO G20070
5;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;5;0.36;1;10;91.3;50;30.25;11.3794;  0:08;SC09;MATERIAIS_FB_NORMAL;11000;11619;0;24.61575;242007005Z15;LATERAL DIR AER;447;507;0.226629;30;6.79887;0.08158644;7.4464071;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;447;251;24 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR AEREO G20070
6;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;30;1.83;3;10;92.07;100;152.625;11.3794;  0:30;SC09;MATERIAIS_FB_NORMAL;11000;9542;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
6;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;30;1.83;3;10;92.07;100;152.625;11.3794;  0:30;SC09;MATERIAIS_FB_NORMAL;11000;9542;0;75.80564;242007005Z29;PRATELEIRA MOVE;686;647;0.443842;240;106.52208;1.27826496;115.701291728;250;0;0;21/12/21;G20070515Z*.2;1011336;DUPLA1Y;2011000012014;0;0;686;321;96 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL BALCAO G20070
6;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;30;1.83;3;10;92.07;100;152.625;11.3794;  0:30;SC09;MATERIAIS_FB_NORMAL;11000;9542;0;24.19182;242007005Z15;LATERAL DIR AER;447;507;0.226629;150;33.99435;0.4079322;36.923708272;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;447;251;84 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR AEREO G20070
7;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;89.35;100;50.875;11.3794;  0:22;SC09;MATERIAIS_FB_NORMAL;11000;11852;5256;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
7;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;89.35;100;50.875;11.3794;  0:22;SC09;MATERIAIS_FB_NORMAL;11000;11852;5256;9.76335;242007005Z29;PRATELEIRA MOVE;686;647;0.443842;10;4.43842;0.05326104;4.967597265;250;0;0;21/12/21;G20070515Z*.2;1011336;DUPLA1Y;2011000012014;0;0;686;321;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL BALCAO G20070
7;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;89.35;100;50.875;11.3794;  0:22;SC09;MATERIAIS_FB_NORMAL;11000;11852;5256;61.34254;242007005Z34;TAMPO SUP COLUN;616;503;0.309848;90;27.88632;0.33463584;31.211108227;250;0;0;21/12/21;G20070515Z*.1;1011337;DUPLA1Y;2011000012014;0;0;616;249;36 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO SUP COLUNA G20070
7;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;89.35;100;50.875;11.3794;  0:22;SC09;MATERIAIS_FB_NORMAL;11000;11852;5256;8.94325;242007005Z28;PRATELEIRA MOVE;616;220;0.13552;30;4.0656;0.0487872;4.550327243;1000;0;0;21/12/21;G20070515Z*.2;1011336;;2011000012014;0;0;616;220;3 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;PRATELEIRA MOVEL
7;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;10;0.61;1;10;89.35;100;50.875;11.3794;  0:22;SC09;MATERIAIS_FB_NORMAL;11000;11852;5256;19.94096;242007005Z15;LATERAL DIR AER;447;507;0.226629;40;9.06516;0.10878192;10.145967265;250;0;0;21/12/21;G20070515Z*.1;1011337;ESQUADRA1Y;2011000012014;0;0;447;251;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR AEREO G20070
8;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;100;7.26;10;10;89.51;100;605;11.3794;  1:27;SC09;MATERIAIS_FB_NORMAL;11000;19528;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
8;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;100;7.26;10;10;89.51;100;605;11.3794;  1:27;SC09;MATERIAIS_FB_NORMAL;11000;19528;0;37.85501;242007005Z17;LATERAL DIR COL;1640;250;0.41;500;205;2.46;229.023125196;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1640;250;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL DIR COLUNA G20070
8;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;100;7.26;10;10;89.51;100;605;11.3794;  1:27;SC09;MATERIAIS_FB_NORMAL;11000;19528;0;37.85501;242007005Z20;LATERAL ESQ COL;1640;250;0.41;500;205;2.46;229.023125196;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1640;250;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;LATERAL ESQ COLUNA G20070
8;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;100;7.26;10;10;89.51;100;605;11.3794;  1:27;SC09;MATERIAIS_FB_NORMAL;11000;19528;0;14.89264;242007005Z30;TAMPO AEREO G20;1626;248;0.403248;200;80.6496;0.9677952;90.100602136;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1626;248;40 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO AEREO G20070
8;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;100;7.26;10;10;89.51;100;605;11.3794;  1:27;SC09;MATERIAIS_FB_NORMAL;11000;19528;0;9.3972;242007005Z03;BASE MAIOR AERE;1026;248;0.254448;200;50.8896;0.6106752;56.853147473;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1026;248;40 %;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;BASE MAIOR AEREO G20070
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;;;;;;;;;;;;;;;;;;;;;;;;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_LAYOUT;alexandre;01/07/2022;  9:52;Fábrica Vermelha;
9;2011000012014;AGLOM 12MM (2750x2200);AGLOM 12MM;12;2750;2200;6.05;50;3.63;5;10;92.43;100;302.5;11.3794;  1:08;SC09;MATERIAIS_FB_NORMAL;22000;9392;0;43.26541;242007005Z30;TAMPO AEREO G20;1626;248;0.403248;300;120.9744;1.4516928;130.879536377;500;0;0;21/12/21;G20070515Z*.1;1011337;;2011000012014;0;0;1626;248;*****;01072022_095252_G20070515Z.1 - 500_FV_data;DATA_PEÇA;alexandre;01/07/2022;  9:52;Fábrica Vermelha;TAMPO AEREO G20070
