N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;92.5;87.5;178.0625;11.1112;  0:45;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;13527;0;;;;;;;;;;;;;;;;;;;;;;;;20220926_105534_280922 -8_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:55;FV;BASE AEREO G25704RM
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;92.5;87.5;178.0625;11.1112;  0:45;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;13527;0;33.51381;242570408N01;BASE AEREO G257;674;585;0.39429;140;55.2006;0.6624072;59.676444795;350;0;0;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;674;289;40 %;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;BASE AEREO G25704RM
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;92.5;87.5;178.0625;11.1112;  0:45;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;13527;0;66.48466;242570408N03;LATERAL AEREO G;332;589;0.195548;560;109.50688;1.31408256;118.386055205;696;-4;-0.85;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;330;291;80.5 %;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;LATERAL AEREO G25704RM
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;93;87.5;178.0625;11.1112;  0:31;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;8775;0;;;;;;;;;;;;;;;;;;;;;;;;20220926_105534_280922 -8_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:55;FV;BASE AEREO G25704RM
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;93;87.5;178.0625;11.1112;  0:31;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;8775;0;50.00054;242570408N01;BASE AEREO G257;674;585;0.39429;210;82.8009;0.9936108;89.03125;350;0;0;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;674;289;*****;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;BASE AEREO G25704RM
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;35;2.14;4;10;93;87.5;178.0625;11.1112;  0:31;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;8775;0;50.00054;242570408N05;TAMPO SUP AEREO;674;585;0.39429;210;82.8009;0.9936108;89.03125;346;-4;-1.7;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;674;289;60.7 %;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;TAMPO SUP AEREO
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;17;1.04;2;10;92.75;85;86.4875;11.1112;  0:17;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11151;0;;;;;;;;;;;;;;;;;;;;;;;;20220926_105534_280922 -8_FV_data;DATA_LAYOUT;Ardis;26/09/2022; 10:55;FV;LATERAL AEREO G25704RM
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;17;1.04;2;10;92.75;85;86.4875;11.1112;  0:17;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11151;0;33.15199;242570408N03;LATERAL AEREO G;332;589;0.195548;136;26.594528;0.319134336;28.673055398;696;-4;-0.84;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;330;291;*****;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;LATERAL AEREO G25704RM
3;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;17;1.04;2;10;92.75;85;86.4875;11.1112;  0:17;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;11151;0;66.84547;242570408N05;TAMPO SUP AEREO;674;585;0.39429;136;53.62344;0.64348128;57.814444602;346;-4;-1.7;28/09/22;G25704RM8N1.1;1131726;;2011000012021;0;0;674;289;*****;20220926_105534_280922 -8_FV_data;DATA_PECA;Ardis;26/09/2022; 10:55;FV;TAMPO SUP AEREO
