N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;33;2.52;6;6;93.92;91.67;167.8875;19.9399;  3:08;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;41890;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_110913_060722 - 5_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;33;2.52;6;6;93.92;91.67;167.8875;19.9399;  3:08;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;41890;0;11.602;203494003BC14;RODAPE 9400 - C;330;70;0.0231;792;18.2952;0.274428;19.478660221;1056;-5;-0.12;06/07/22;94003B1CF;1118953;;2011000015046;0;0;330;70;75 %;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;33;2.52;6;6;93.92;91.67;167.8875;19.9399;  3:08;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;41890;0;44.39343;2034940009C11;LATERAL GAV ESQ;400;110;0.044;1591;70.004;1.05006;74.532343462;1591;0;0;06/07/22;94003B1CF;1118953;;2011000015046;0;0;400;110;*****;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
1;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;33;2.52;6;6;93.92;91.67;167.8875;19.9399;  3:08;SELCO EBT 1000;MATERIAIS_FV_NORMAL;22000;41890;0;44.00279;2034940009C10;LATERAL GAV DIR;400;110;0.044;1577;69.388;1.04082;73.876496317;1589;-2;-0.09;06/07/22;94003B1CF;1118953;;2011000015046;0;0;400;110;99.2 %;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;90.09;100;30.525;19.9399;  0:43;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;38965;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_110913_060722 - 5_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;90.09;100;30.525;19.9399;  0:43;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;38965;0;22.176;203494003BC14;RODAPE 9400 - C;330;70;0.0231;264;6.0984;0.091476;6.76949478;1056;-5;-0.13;06/07/22;94003B1CF;1118953;;2011000015046;0;0;330;70;*****;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;90.09;100;30.525;19.9399;  0:43;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;38965;0;75.9;2034940009C3;COSTA GAV 9400;275;110;0.03025;690;20.8725;0.3130875;23.169401776;1590;-1;-0.03;06/07/22;94003B1CF;1118953;;2011000015046;0;0;275;110;43.4 %;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
2;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;90.09;100;30.525;19.9399;  0:43;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;38965;0;1.92;2034940009C10;LATERAL GAV DIR;400;110;0.044;12;0.528;0.00792;0.586103444;1589;-2;-0.1;06/07/22;94003B1CF;1118953;;2011000015046;0;0;400;110;*****;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;89.19;100;30.525;19.9399;  0:41;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;34100;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_110913_060722 - 5_FV_data;DATA_LAYOUT;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
3;2011000015046;AGLOM 15MM (2750x1850) (CARB-CERTIFICADO);AGLOM 15MM CARB;15;2750;1850;5.0875;6;0.46;1;6;89.19;100;30.525;19.9399;  0:41;SELCO EBT 1000;MATERIAIS_FV_NORMAL;30250;34100;0;99.98164;2034940009C3;COSTA GAV 9400;275;110;0.03025;900;27.225;0.408375;30.525;1590;-1;-0.03;06/07/22;94003B1CF;1118953;;2011000015046;0;0;275;110;*****;04072022_110913_060722 - 5_FV_data;DATA_PEÇA;Ardis;04/07/2022; 11:09;Fábrica Vermelha;
