N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;;;;;;;;;;;;;;;;;;;;;;;;04072022_091753_060722 - 2_FV_data;DATA_LAYOUT;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;11.04759;242512505ZE5;TAMPO AEREO;1026;248;0.254448;100;25.4448;0.3053376;28.102778769;500;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;1026;248;20 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;4.04654;242512505ZE3;DIVISORIA AEREO;466;200;0.0932;100;9.32;0.11184;10.29357268;500;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;466;200;20 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;27.13084;242512505ZE4;LATERAL AEREO;493;507;0.249951;250;62.48775;0.749853;69.015257105;500;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;493;253;50 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;56.0175;242512505ZE1;BASE AEREO;1026;503;0.516078;250;129.0195;1.548234;142.496952829;250;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;1026;248;*****;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
1;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;50;3.05;5;10;90.54;100;254.375;11.1112;  1:16;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;11000;12749;1572;1.75582;242675100914;TIRA REFORCO;674;60;0.04044;100;4.044;0.048528;4.466438618;330;0;0;06/07/22;G26751RM092.2;1118567;;2011000012021;0;3;674;60;30.3 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;40;2.44;4;10;92.41;100;203.5;11.1112;  1:01;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;17361;1000;;;;;;;;;;;;;;;;;;;;;;;;04072022_091753_060722 - 2_FV_data;DATA_LAYOUT;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;40;2.44;4;10;92.41;100;203.5;11.1112;  1:01;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;17361;1000;3.4406;242675100914;TIRA REFORCO;674;60;0.04044;160;6.4704;0.0776448;7.001487793;330;0;0;06/07/22;G26751RM092.2;1118567;;2011000012021;0;3;674;60;78.8 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;40;2.44;4;10;92.41;100;203.5;11.1112;  1:01;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;17361;1000;15.85877;242512505ZE3;DIVISORIA AEREO;466;200;0.0932;320;29.824;0.357888;32.271941756;500;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;466;200;84 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
2;2011000012021;AGLOM 12MM (2750x1850);AGLOM 12MM;12;2750;1850;5.0875;40;2.44;4;10;92.41;100;203.5;11.1112;  1:01;SC08 - GABIANNI GALAXY T3;MATERIAIS_FV_NORMAL;13750;17361;1000;26.58205;242512505ZE4;LATERAL AEREO;493;507;0.249951;200;49.9902;0.5998824;54.093375227;500;0;0;06/07/22;G25125EM5Z*.1;1119934;;2011000012021;0;0;493;253;90 %;04072022_091753_060722 - 2_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:17;Fábrica Vermelha;
