N° Layout;Código chapa ERP usada;Descrição da chapa;Classificação da chapa;Espessura chapa e peça;Comprimento chapa;Largura Chapa;m² da chapa;Quantidade de chapa;m³ total plano;Carregamentos;Quantidade por corte;Aproveitamento;Ocupação Máquina;m² total;Custo R$/m²;Tempo corte;Máquina;Deposito;Cortes N1;Cortes N2;Cortes N3;% peça no plano;Código peça ERP;Descrição da peça;Comprimento da peça;Largura da peça;m² líquido peça; Quantidade programada;m² líquido total peça;m³ líquido total peça;m² bruto peça;Quantidade produzida;Peças superprodução;m² superprodução;Data embalagem;Referência do item;Lote;Lógica Ardis;Código chapa ERP Cadastro;Nível;Prioridade;Comprimento peça final;Largura peça final;% produzido;Nome arquivo data;Tipo dado;Usuário;Data processamento;Hora processamento;Unidade;Descrição Peça 2
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;84;1.06;5;20;94.67;84;379.176;40;  1:03;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7255;648;;;;;;;;;;;;;;;;;;;;;;;;04072022_093450_050722 2 3mm_FV_data;DATA_LAYOUT;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;84;1.06;5;20;94.67;84;379.176;40;  1:03;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7255;648;18.16045;242007700905;COSTA;1194;325;0.38805;168;65.1924;0.18253872;68.860076208;1004;4;1.64;05/07/22;G25121RM8N1.1;1119007;;2013000309026;0;0;1194;325;16.7 %;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;84;1.06;5;20;94.67;84;379.176;40;  1:03;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7255;648;29.05673;242412300902;COSTA;1194;520;0.62088;168;104.30784;0.292061952;110.176121933;500;0;0;05/07/22;G24126RM8N1.1;1120504;;2013000309026;0;0;1194;520;33.6 %;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;84;1.06;5;20;94.67;84;379.176;40;  1:03;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7255;648;45.98982;203369070902;COSTA;944;694;0.655136;252;165.094272;0.462263962;174.38235364;252;2;1.38;05/07/22;6907751;1118481;;2013000309026;0;0;944;694;*****;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
1;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;84;1.06;5;20;94.67;84;379.176;40;  1:03;SC11 - SCM Star;MATERIAIS_FV_NORMAL;9760;7255;648;6.79301;242575700903;COSTA;896;324;0.290304;84;24.385536;0.068279501;25.75744822;600;0;0;05/07/22;G25757RM8N1.1;1119010;;2013000309026;0;0;896;324;14 %;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;72;0.91;4;20;91.26;90;325.008;40;  0:41;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;13062;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_093450_050722 2 3mm_FV_data;DATA_LAYOUT;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;72;0.91;4;20;91.26;90;325.008;40;  0:41;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;13062;0;32.17416;2426553009P3;COSTA;588;322;0.189336;504;95.425344;0.267190963;104.56843347;504;4;0.83;05/07/22;G24600PR091.1;1119832;;2013000309026;0;0;588;322;*****;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;72;0.91;4;20;91.26;90;325.008;40;  0:41;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;13062;0;37.68111;242007700905;COSTA;1194;325;0.38805;288;111.7584;0.31292352;122.46642585;1004;4;1.7;05/07/22;G25121RM8N1.1;1119007;;2013000309026;0;0;1194;325;45.4 %;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
2;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;72;0.91;4;20;91.26;90;325.008;40;  0:41;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;13062;0;30.14489;242412300902;COSTA;1194;520;0.62088;144;89.40672;0.250338816;97.97314068;500;0;0;05/07/22;G24126RM8N1.1;1120504;;2013000309026;0;0;1194;520;62.4 %;04072022_093450_050722 2 3mm_FV_data;DATA_PEÇA;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
3;2013000309026;HDF 2,5MM- LE BRANCO ICE- 1L;3MM FSC BRANCO;2.8;2440;1850;4.514;47;0.59;3;20;89.4;78.33;212.158;40;  0:29;SC11 - SCM Star;MATERIAIS_FV_NORMAL;7320;9918;0;;;;;;;;;;;;;;;;;;;;;;;;04072022_093450_050722 2 3mm_FV_data;DATA_LAYOUT;Ardis;04/07/2022;  9:34;Fábrica Vermelha;
